順位,企業ID,都道府県コード,棟数区分コード,都道府県,社名,フリガナ,代表者役職,代表者,設立,資本金,従業員,〒,所在地,電話,決算1（年）,決算1（月）,決算2（年）,決算2（月）,決算3（年）,決算3（月）,売上高1,売上高2,売上高3,※粗利,※固定費,純利益1,純利益2,純利益3,利益率1,利益率2,利益率3,完工棟数1,完工棟数2,完工棟数3,注文,建売,アパート,下請,成長率,棟数/人,売上/人,単価/棟
25,00-000786,17,w7,鳥取,美保テクノス㈱,ミホテクノス,代表取締役社長,野津　健市,昭和47年11月,100,212,6830037,米子市昭和町２５,0859－33－9211,,,5,3,6,3,,"10,523","10,326","2,582","2,403",,456,179,,4.34,1.73,,5,10,,,,,200.0%,0.05,49,
2,31-006034,17,w6,鳥取,㈱アート建工,アートケンコウ,代表取締役社長,魚谷　宗司,昭和60年4月,49,148,6830853,米子市両三柳２５５－８,0859－21－2234,4,3,5,3,6,3,"3,770","4,908","6,010","1,503","1,401",40,60,102,1.05,1.23,1.70,160,190,190,115,75,,,100.0%,1.28,41,"31,632"
14,00-003772,17,w7,鳥取,㈱井木組,イギグミ,代表取締役社長,井木　敏晴,昭和19年6月,96,146,6892501,東伯郡琴浦町赤碕２０００－１,0858－55－0811,,,5,3,6,3,,"6,176","5,954","1,489",898,,506,590,,8.19,9.92,,30,10,,,,,33.3%,0.07,41,
1,00-014967,17,w6,鳥取,㈱一条工務店山陰,イチジヨウコウムテンサンイン,代表取締役社長,橋上　美智子,昭和62年8月,30,,6800842,鳥取市吉方１９０,0857－22－7111,3,12,4,12,5,12,"8,765","8,786","5,176","1,294",961,559,699,333,6.38,7.96,6.44,215,210,230,230,,,,109.5%,,,"22,504"
3,00-026972,17,w6,鳥取,㈱ウッズカンパニー,ウツズカンパニー,代表取締役社長,谷本　一樹,平成21年3月,6,106,6800913,鳥取市安長２０５－２,0857－50－1138,3,12,4,12,5,12,"3,456","4,476","3,784",946,945,4,-26,1,0.12,-0.57,0.04,165,165,105,80,25,,,63.6%,0.99,36,"36,038"
4,31-003404,17,w6,鳥取,㈱ヤマタホーム,ヤマタホーム,代表取締役社長,山田　時好,昭和59年9月,20,68,6800911,鳥取市千代水２－１３０,0857－30－5211,4,3,5,3,6,3,"2,019","2,765","2,635",659,604,-27,4,55,-1.34,0.16,2.08,95,85,65,60,,5,,76.5%,0.96,39,"40,538"
6,31-002071,17,w6,鳥取,㈱ジューケン,ジユーケン,代表取締役社長,加藤　辰宏,昭和51年4月,45,36,6800905,鳥取市賀露町１１３－２,0857－31－2377,4,3,5,3,6,3,"2,231","1,761","2,631",658,629,79,38,28,3.56,2.15,1.08,30,25,25,25,,,,100.0%,0.69,73,
26,31-000393,17,w7,鳥取,㈱高野組,コウノグミ,代表取締役社長,髙力　久美,昭和28年3月,20,64,6892501,東伯郡琴浦町赤碕８１７－７,0858－55－0921,,,4,12,5,12,,"2,395","2,125",531,479,,50,52,,2.07,2.46,,10,5,,,,,50.0%,0.08,33,
15,31-001923,17,w7,鳥取,大松建設㈱,ダイマツケンセツ,代表取締役社長,松浦　啓介,昭和51年1月,20,25,6830854,米子市彦名町１８４７－１,0859－29－6281,,,4,12,5,12,,"1,924","1,799",450,390,,114,60,,5.92,3.34,,20,10,,,,,50.0%,0.40,72,
16,31-006991,17,w7,鳥取,㈱アークス,アークス,代表取締役社長,馬野　慎一郎,平成26年2月,20,45,6892202,東伯郡北栄町東園３１６－３,0858－37－3101,,,5,6,6,6,,"1,634","1,500",375,,,111,,,6.77,,,15,10,,,,,66.7%,0.22,33,
13,31-000007,17,w7,鳥取,㈱マツワ,マツワ,代表取締役社長,松岡　力也,昭和23年4月,10,41,6891101,鳥取市杉崎大政４７６,0857－53－3050,,,4,8,5,8,,"1,578","1,499",375,334,,5,41,,0.34,2.74,,15,15,,,,,100.0%,0.37,37,
29,31-006435,17,w7,鳥取,㈲瀬戸商店,セトシヨウテン,代表取締役社長,瀬戸　和由,平成9年4月,8,35,6800701,八頭郡若桜町若桜１１２２－１,0858－82－0580,,,5,2,6,2,,"1,080","1,420",355,335,,,20,,,1.41,,10,5,,,,,50.0%,0.14,41,
20,31-003879,17,w7,鳥取,㈱島津組,シマヅグミ,代表取締役社長,島津　志朗,昭和62年8月,20,41,6830009,米子市観音寺新町３－４－２９,0859－33－1319,,,4,10,5,10,,"1,568","1,354",339,354,,30,-16,,1.94,-1.17,,10,10,,,,,100.0%,0.24,33,
9,31-001996,17,w6,鳥取,寿ホームズ㈱,コトブキホームズ,代表取締役社長,杉島　篤美,昭和51年8月,20,15,6820816,倉吉市駄経寺町２－３８－３,0858－22－0400,3,7,4,7,5,7,796,939,"1,013",253,222,36,28,31,4.53,2.99,3.05,25,20,20,20,,,,100.0%,1.33,68,"50,650"
23,31-002998,17,w7,鳥取,㈱アオキ建設,アオキケンセツ,代表取締役社長,伊垢離　隆,昭和35年7月,40,39,6820413,倉吉市関金町郡家７２１－１,0858－48－7001,,,5,6,6,6,,828,"1,000",250,,,16,,,1.93,,,5,10,,,,,200.0%,0.26,26,
45,31-000701,17,w7,鳥取,㈱田中建設,タナカケンセツ,代表取締役社長,濵中　安男,昭和35年12月,48,14,6800874,鳥取市叶１３５－１,0857－53－1221,,,4,7,5,7,,"1,045",960,240,228,,23,12,,2.18,1.25,,0,5,,,,,,0.36,69,
42,31-000939,17,w7,鳥取,㈱千代田工務店,チヨダコウムテン,代表取締役社長,荒田　潤之介,昭和42年10月,20,12,6800872,鳥取市宮長２７６－２,0857－30－5377,,,4,9,5,9,,"1,104",946,237,210,,47,26,,4.28,2.80,,5,5,,,,,100.0%,0.42,79,
7,31-006929,17,w6,鳥取,㈱スマートホーム,スマートホーム,代表取締役社長,陶山　陽一郎,平成25年4月,10,10,6820803,倉吉市見日町３６４－１,0858－24－6948,3,12,4,12,5,12,"1,124","1,297",896,224,220,41,25,4,3.62,1.95,0.46,45,40,20,15,5,,,50.0%,2.00,90,"44,800"
18,31-001468,17,w7,鳥取,㈱日栄住宅,ニチエイジユウタク,代表取締役社長,花田　圭一,昭和49年8月,22,11,6891101,鳥取市杉崎５５８,0857－53－4875,,,5,3,6,3,,839,864,216,147,,58,69,,6.94,8.02,,15,10,,,,,66.7%,0.91,79,
37,31-002742,17,w7,鳥取,㈲酒井建設,サカイケンセツ,代表取締役社長,酒井　祐一,昭和56年4月,20,11,6820023,倉吉市山根６２２－１,0858－26－5031,,,4,12,5,12,,716,758,190,90,,-85,100,,-11.92,13.17,,5,5,,,,,100.0%,0.45,69,
17,31-005300,17,w7,鳥取,㈱小田原工務店,オダハラコウムテン,代表取締役社長,小田原　勤,平成8年5月,5,14,6830853,米子市両三柳１６１－１,0859－33－1036,,,5,5,6,5,,783,700,175,,,45,,,5.74,,,15,10,,,,,66.7%,0.71,50,
8,31-000159,17,w6,鳥取,㈱先本組,サキモトグミ,代表取締役社長,森　満,昭和36年7月,39,7,6830804,米子市米原５－１０－２０,0859－22－9391,3,7,4,7,5,7,498,751,684,171,107,0,-115,64,0.02,-15.32,9.32,20,25,20,10,10,,,80.0%,2.86,98,"34,200"
12,31-006759,17,w7,鳥取,福山建築,フクヤマケンチク,,松本　晃一,-,,22,6820023,倉吉市山根５３９－１－２Ｆ,0858－27－0112,,,4,12,5,12,,603,619,155,,,,,,,,,15,15,,,,,100.0%,0.68,28,"41,267"
24,31-005680,17,w7,鳥取,㈱オオヒロ,オオヒロ,代表取締役社長,山田　宗陽,平成10年7月,20,13,6800801,鳥取市松並町１－１６８－２４,0857－26－1007,,,5,6,6,6,,707,619,155,127,,35,28,,4.90,4.45,,5,10,,,,,200.0%,0.77,48,
10,31-005273,17,w6,鳥取,㈱エール,エール,代表取締役社長,福本　晴夫,平成8年5月,10,11,6800942,鳥取市湖山町東３－６５,0857－38－9161,4,3,5,3,6,3,595,572,610,153,183,19,8,-31,3.23,1.32,-5.00,20,15,20,20,,,,133.3%,1.82,55,"30,500"
