company_id,company_name,prefecture,address,phone,url,status
40-102473,㈱よかタウン,福岡,福岡市東区松島６－６－３３,092－612－1188,https://momota.co.jp,pending
00-022131,昭和建設㈱,福岡,久留米市国分町７４３－２,0942－21－3311,https://www.showacr.co.jp,pending
00-024353,東宝ホーム㈱,福岡,北九州市小倉北区下到津４－９－２,093－571－1555,https://tohohome.jp,pending
40-098911,大英産業㈱,福岡,北九州市八幡西区下上津役４－１－３６,093－613－5500,https://momota.co.jp,pending
00-023967,悠悠ホーム㈱,福岡,大野城市筒井４－１９－１０,092－592－6995,https://www.yuyuhome.co.jp,pending
13-153221,㈱シノケングループ,福岡,福岡市中央区天神１－１－１,092－714－0040,https://www.shinoken.co.jp/about/company,pending
40-115942,㈱シアーズホームバース,福岡,大野城市大城２－２３－３０,092－504－6200,https://fukuoka.searshomegroup.co.jp,pending
T40-018468,ケイアイスタービルド㈱,福岡,福岡市東区土井１－１５－１９,092－719－1177,https://kib.ki-group.co.jp,pending
00-025405,㈱アイケンジャパン,福岡,福岡市中央区天神２－７－２１－１２Ｆ,092－739－6655,https://aikenjapan.jp/outline/company_profile,pending
40-045209,西日本鉄道㈱,福岡,福岡市博多区博多駅前３－５－７,092－734－1217,https://www.takenaka.co.jp,pending
40-059997,㈱斉藤工務店,福岡,福岡市中央区天神１－１－１－８Ｆ,092－739－5220,https://www.konoike.co.jp/koyukai/company/info/61019,pending
40-062464,辰巳開発㈱,福岡,北九州市八幡西区幸神４－７－６,093－644－2500,https://momota.co.jp,pending
40-108967,イデアハウス㈱,福岡,福岡市博多区祇園町４－２－３Ｆ,092－291－2331,https://ideahaus.co.jp,pending
40-105506,㈱トータテ都市開発九州,福岡,福岡市西区室見が丘２－４－７,092－811－4010,https://momota.co.jp,pending
00-024015,エコワークス㈱,福岡,福岡市博多区竹丘町１－５－３８,092－404－9200,https://www.eco-works.jp,pending
40-106950,鬼丸ホーム㈱,福岡,北九州市小倉南区湯川１－７－７,093－280－3620,https://www.napsnet.co.jp,pending
T00-008821,第一ホーム㈱,福岡,北九州市小倉北区馬借２－６－６－３Ｆ,093－511－8841,https://momota.co.jp,pending
40-111178,鬼丸ハウス㈱,福岡,北九州市小倉南区中曽根東２－１３－１６,093－941－2477,https://www.napsnet.co.jp,pending
40-092965,健康住宅㈱,福岡,福岡市城南区別府５－２５－２１,092－846－3000,https://www.kenkoh-jutaku.co.jp,pending
40-108869,㈱ネクスト－ライフ－デザイン,福岡,福岡市城南区長尾４－１８－９,092－874－0111,https://www.narutop.co.jp,pending
40-115771,ＷＩＴＨＤＯＭ　Ｇｒｏｕｐ㈱,福岡,福岡市博多区博多駅東１－１８－２５,092－710－4870,https://withdom-group.jp,pending
40-104637,㈱上之原建設,福岡,福岡市早良区次郎丸１－１１－５１,092－864－7307,https://www.kenchikukenken.co.jp/status/1656893654,pending
40-008687,久留米建設㈱,福岡,久留米市荒木町荒木７８９－２,0942－27－0352,https://www.kkcc.jp,pending
00-018790,㈱コスモス,福岡,福岡市西区拾六町１－１０－５,092－891－5500,https://cosmos-co.jp,pending
