[Worker2] 富山〜愛知: 144社
[W2][1/144] ㈱赤井建設 → https://rebuild.hapisumu.jp/h-company/85397
[W2][2/144] ㈲フジホーム → https://fujihome-toyama.jp
[W2][3/144] ㈱石原建築 → https://rebuild.hapisumu.jp/h-company/92243
[W2][4/144] ㈱たくみ工務店 → 未発見
[W2][5/144] ㈱ＴＡＫＡＴＡ建築 → 未発見
[W2][6/144] ㈱大黒建設 → 未発見
[W2][7/144] ㈱三田村工務店 → 未発見
[W2][8/144] ㈱ハウジングサービス → 未発見
[W2][9/144] ㈱中西工務店 → 未発見
[W2][10/144] ㈲中嶋工務店 → 未発見
[W2][11/144] ㈱地場工務店 → 未発見
[W2][12/144] ㈲入沢工務店 → 未発見
[W2][13/144] ㈱ナカゴミ建設 → 未発見
[W2][14/144] ㈱望月工務店 → 未発見
[W2][15/144] ㈱Ｕ建築 → 未発見
[W2][16/144] ㈱菱田工務店 → 未発見
[W2][17/144] 中澤勝一建築㈱ → 未発見
[W2][18/144] ㈱湯本工務店 → 未発見
[W2][19/144] ㈱倉田工務店 → 未発見
[W2][20/144] 窪田建設㈱ → https://yumotokoumuten.jp
[W2][21/144] ㈱クリエイト軽井沢建設 → https://rebuild.hapisumu.jp/h-company/89158
[W2][22/144] ㈲建築工房時遊館 → http://itsubo.weblike.jp
[W2][23/144] 更埴建設㈱ → https://koshoku-ken.co.jp
[W2][24/144] 興和工業㈱ → http://www.kou-wa.co.jp
[W2][25/144] ㈱国興 → https://www.coccohome.jp
[W2][26/144] ㈱小林工務店 → 未発見
[W2][27/144] ㈲コマツ住研 → https://shinshuu-mjk.jp/member/komatujyuken
[W2][28/144] コロナ技建㈱ → https://www.corona-giken.co.jp
[W2][29/144] ㈱佐々木工務店 → http://sasakikoumuten.net
[W2][30/144] 更級圭建築設計㈱ → https://kei-sarashina.jp
  [W2] 保存: 30社完了 (取得:13)
[W2][31/144] ㈲寺島工務店 → 未発見
[W2][32/144] ㈲友栄建築 → 未発見
[W2][33/144] ㈱西沢祐工務店 → 未発見
[W2][34/144] ㈱ネクストプラン → https://rebuild.hapisumu.jp/h-company/89163
[W2][35/144] ㈱林工務店 → 未発見
[W2][36/144] ㈲南澤建設 → 未発見
[W2][37/144] ㈲宮坂住建 → 未発見
[W2][38/144] ㈱ヤマシタ工務店 → 未発見
[W2][39/144] ㈲基信 → 未発見
[W2][40/144] ㈱三光工務店 → 未発見
[W2][41/144] 丸共建設㈱ → 未発見
[W2][42/144] ㈱恒工務店 → 未発見
[W2][43/144] ㈱田中工務店 → 未発見
[W2][44/144] ㈱日建建設 → 未発見
