企業ID,企業名,郵便番号,都道府県,市区町村,住所1,代表番号,,
10,株式会社ハルク,273-0122,千葉県,鎌ケ谷市,東初富４丁目３６－５ １F,047-498-8010,,
24,株式会社リソーケンセツ,344-0053,埼玉県,春日部市,梅田本町2-16-5,048-763-4800,,
54,株式会社勝建設,793-0010,愛媛県,,西条市飯岡2564-9,0897-27-2378,,
64,株式会社リッケン,372-0821,群馬県,伊勢崎市,阿弥大寺町３４９－２,0120-100-937,,
70,株式会社ビーエムプランニング,368-0005,埼玉県,秩父市,大野原491番地19,0120-084-034,,
91,株式会社マルカワ建設,890-0082,鹿児島県,鹿児島市,紫原4-26-8,099-812-4088,,
101,三陽不動産株式会社,340-0114,埼玉県,幸手市,東2-19-26,0480-42-4485,,
132,株式会社アイケーホーム,154-0002,東京都,,世田谷区下馬6-5-10,03-5724-3595,,
144,ヤマダコーポレーション株式会社,944-0005,新潟県,妙高市,中川5-5,0255-72-0372,,
159,笘原拓人税理士事務所,460-0024,愛知県,名古屋市,中区正木4丁目8番7号 れんが橋ビル7F,052-265-8902,,
209,株式会社上田建装社,386-0034,長野県,上田市,中之条382-4,0268-22-9692,,
234,株式会社リグスタイルカンパニー,500-8238,岐阜県,岐阜市,細畑1丁目8-5C-ISLAND17　1階,058-249-1117,,
235,有限会社鈴勝建設,971-8146,福島県,いわき市,鹿島町御代字赤坂16-6,0246-38-8860,,
245,アイコミュニケーションズ株式会社,263-0002,千葉県,千葉市稲毛区,山王町290-3,043-312-0486,,
289,株式会社リリー,028-6103,岩手県,二戸市,石切所字荷渡18-3,0195-23-2616,,
321,株式会社熊木住建,388-8020,長野県,長野市,神明8-2,026-285-0390,,
375,株式会社物流サービス,379-2152,群馬県,前橋市,下大島町454-4,027-266-6541,,
378,株式会社小沢工務店,297-0026,千葉県,茂原市,茂原1047-9,0475-26-6636,,
388,有限会社共楽堂,723-0052,広島県,,三原市皆実1-22-10,0120-62-4097,,
391,株式会社エー・エヌ・ホーム,815-0035,福岡県,福岡市南区,向野1丁目13-1,092-512-2122,,
402,古川製材株式会社,509-4225,岐阜県,飛騨市,古川町金森町8番1号,0577-57-8511,,
409,森大建地産株式会社,518-1414,三重県,伊賀市猿野1238,伊賀市猿野1238,0595-48-0331,,
418,有限会社水工技研,165-0021,東京都,中野区,丸山1-12-8　EFGビル,03-5942-5790,,
426,株式会社ハウス工芸社,590-0106,大阪府,堺市南区,豊田1749番地,072-291-8116,,
429,大分ベスト不動産株式会社,870-0268,大分県,大分市,政所2150番地,097-574-8582,,
441,株式会社高垣工務店,646-0025,和歌山県,田辺市,神子浜2-20-14,0739-25-2768,,
442,株式会社デザイナーズハウス木屋,700-0973,岡山県,岡山市北区,下中野701-108,086-805-8648,,
446,株式会社コア桜井,531-0074,大阪府,大阪市北区,本庄東3-5-15,06-6371-2738,,
447,株式会社いのうえ工務店,368-0001,埼玉県,秩父市,黒谷368-1,0494-25-3458,,
449,シュウハウス工業株式会社,781-5103,高知県,高知市,大津乙1055-1,088-866-5009,,
452,株式会社MASAOKA,785-0033,高知県,,須崎市大間西町3-17,,,
462,松盛堂株式会社,323-0820,栃木県,小山市,西城南3-7-37,0120-15-7688,,
34084,飯能信用金庫,357-0025,埼玉県,飯能市,栄町24-9,042-972-8111,,
35375,株式会社セイリョウ,335-0021,埼玉県,戸田市,新曽2263-6,048-422-3464,,
40239,株式会社アレス,790-0051,愛媛県,松山市,生石町126番3,089-909-3200,,
44718,株式会社鶴亀,319-0126,茨城県,小美玉市,大谷,029-869-8863,,
54692,株式会社アステック,338-0835,埼玉県,さいたま市桜区道場字拾石田709-1,道場,048-857-5757,,
54780,ブティックス株式会社,108-0073,東京都,港区,三田1-4-28 三田国際ビル11階,03-6303-9611,,
